iter	Passed	Remaining
468	1507214	1706462
469	1510036	1702807
470	1513437	1699805
471	1515811	1695653
472	1519127	1692558
473	1521870	1688826
474	1524546	1685024
475	1527773	1681834
476	1530166	1677730
477	1533733	1674913
478	1537410	1672215
479	1540692	1669083
480	1543016	1664918
481	1546286	1661776
482	1548706	1657724
483	1551503	1654082
484	1555346	1651553
485	1559038	1648859
486	1561383	1644742
487	1564315	1641249
488	1567350	1637864
489	1569900	1633978
490	1573292	1630969
491	1575771	1627016
492	1578829	1623664
493	1581895	1620321
494	1584549	1616560
495	1587926	1613537
496	1590462	1609663
497	1593486	1606285
498	1597230	1603632
499	1600893	1600893
500	1603557	1597156
501	1605931	1593135
502	1609356	1590159
503	1612017	1586430
504	1615012	1583031
505	1618025	1579653
506	1620578	1575828
507	1623983	1572834
508	1626502	1568984
509	1629811	1565897
510	1633525	1563197
511	1637125	1560384
512	1639409	1556320
513	1642467	1552994
514	1645099	1549268
515	1648090	1545883
516	1651069	1542488
517	1654140	1539181
518	1657017	1535694
519	1660275	1532561
520	1662739	1528699
521	1666024	1525593
522	1669676	1522821
523	1673280	1520002
524	1675703	1516112
525	1678762	1512800
526	1681724	1509403
527	1684339	1505697
528	1687683	1502644
529	1690221	1498875
530	1693167	1495472
531	1696986	1492838
532	1700716	1490121
533	1703378	1486468
534	1706164	1482928
535	1709455	1479827
536	1711878	1475976
537	1715224	1472924
538	1717824	1469234
539	1720848	1465907
540	1724013	1462702
541	1726629	1459033
542	1730066	1456059
543	1732554	1452288
544	1735842	1449189
545	1739486	1446386
546	1743168	1443611
547	1745824	1439986
548	1748804	1436631
549	1751867	1433345
550	1754308	1429554
551	1757593	1426452
552	1760246	1422839
553	1763190	1419463
554	1766882	1416689
555	1770680	1413996
556	1773544	1410557
557	1776055	1406839
558	1779422	1403802
559	1781919	1400079
560	1784836	1396690
561	1788503	1393887
562	1792094	1391022
563	1794531	1387261
564	1797601	1383993
565	1800423	1380536
566	1802838	1376770
567	1806525	1373977
568	1810252	1371210
569	1813251	1367891
570	1815610	1364092
571	1818892	1360989
572	1821901	1357682
573	1824374	1353978
574	1827771	1350961
575	1830320	1347319
576	1833387	1344060
577	1836367	1340738
578	1839115	1337250
579	1842143	1333965
580	1844773	1330396
581	1848357	1327514
582	1852021	1324687
583	1855484	1321715
584	1857919	1318011
585	1860682	1314543
586	1863989	1311460
587	1866370	1307729
588	1869821	1304748
589	1872499	1301228
590	1875512	1297943
591	1878777	1294833
592	1881176	1291128
593	1884596	1288124
594	1888241	1285273
595	1891786	1282351
596	1894143	1278626
597	1897253	1275411
598	1900187	1272078
599	1902582	1268388
600	1905849	1265280
601	1908674	1261881
602	1911240	1258312
603	1914958	1255502
604	1918649	1252672
605	1921821	1249501
606	1924229	1245835
607	1927581	1242782
608	1930018	1239141
609	1932925	1235804
610	1936040	1232602
611	1938536	1229007
612	1942307	1226219
613	1945943	1223345
614	1949309	1220299
615	1951663	1216621
616	1954759	1213408
617	1957729	1210117
618	1960123	1206473
